code,name,address,coordinates
11230105,답십리동,서울특별시 동대문구 답십리동,POINT(37.5690668295007 127.056655839753)
11230106,장안동,서울특별시 동대문구 장안동,POINT(37.5696967138507 127.071439570463)
11230107,청량리동,서울특별시 동대문구 청량리동,POINT(37.583046821837 127.048170770368)
11230108,회기동,서울특별시 동대문구 회기동,POINT(37.5907885967282 127.05537245757)
11230109,휘경동,서울특별시 동대문구 휘경동,POINT(37.5908553624268 127.065730507228)
11230110,이문동,서울특별시 동대문구 이문동,POINT(37.6004055110663 127.066373060068)
11260101,면목동,서울특별시 중랑구 면목동,POINT(37.5803715762431 127.087661590766)
11260102,상봉동,서울특별시 중랑구 상봉동,POINT(37.596768819552 127.088754299651)
11260103,중화동,서울특별시 중랑구 중화동,POINT(37.5994618167452 127.077320262185)
11260104,묵동,서울특별시 중랑구 묵동,POINT(37.6123807746798 127.079182031593)
11260105,망우동,서울특별시 중랑구 망우동,POINT(37.5955130359785 127.103962394815)
11260106,신내동,서울특별시 중랑구 신내동,POINT(37.6058747809887 127.09936528756)
11290101,성북동,서울특별시 성북구 성북동,POINT(37.591046609396 127.003274531869)
11290102,성북동1가,서울특별시 성북구 성북동1가,POINT(37.5895149125504 127.003614139532)
11290103,돈암동,서울특별시 성북구 돈암동,POINT(37.5962791991149 127.00991034218)
11290104,동소문동1가,서울특별시 성북구 동소문동1가,POINT(37.5900265113417 127.007210212424)
11290105,동소문동2가,서울특별시 성북구 동소문동2가,POINT(37.5887073911224 127.008238156364)
11290106,동소문동3가,서울특별시 성북구 동소문동3가,POINT(37.5898604829039 127.010489205319)
11290107,동소문동4가,서울특별시 성북구 동소문동4가,POINT(37.5917597611251 127.01063893326)
11290108,동소문동5가,서울특별시 성북구 동소문동5가,POINT(37.5916367047087 127.01537185184)
11290109,동소문동6가,서울특별시 성북구 동소문동6가,POINT(37.5933415527604 127.01399531696)
11290110,동소문동7가,서울특별시 성북구 동소문동7가,POINT(37.5963292176218 127.014190641129)
11290111,삼선동1가,서울특별시 성북구 삼선동1가,POINT(37.5846817438786 127.008396217359)
11290112,삼선동2가,서울특별시 성북구 삼선동2가,POINT(37.583369642001 127.011439305713)
11290113,삼선동3가,서울특별시 성북구 삼선동3가,POINT(37.5865085302362 127.013092803419)
11290114,삼선동4가,서울특별시 성북구 삼선동4가,POINT(37.5903502910641 127.013723013975)
11290115,삼선동5가,서울특별시 성북구 삼선동5가,POINT(37.5885336236906 127.015851281018)
11290116,동선동1가,서울특별시 성북구 동선동1가,POINT(37.5923102427412 127.018211777612)
11290117,동선동2가,서울특별시 성북구 동선동2가,POINT(37.5901655850025 127.020040985677)
11290118,동선동3가,서울특별시 성북구 동선동3가,POINT(37.5944938544003 127.020599250097)
11290119,동선동4가,서울특별시 성북구 동선동4가,POINT(37.5952221822842 127.018633716126)
11290120,동선동5가,서울특별시 성북구 동선동5가,POINT(37.5959288284837 127.016844785039)
11290121,안암동1가,서울특별시 성북구 안암동1가,POINT(37.5883885968467 127.02135842744)
11290122,안암동2가,서울특별시 성북구 안암동2가,POINT(37.5865287984821 127.02216855408)
11290123,안암동3가,서울특별시 성북구 안암동3가,POINT(37.5835336768551 127.023313410414)
11290124,안암동4가,서울특별시 성북구 안암동4가,POINT(37.5807006819401 127.024648423554)
11290125,안암동5가,서울특별시 성북구 안암동5가,POINT(37.5883977734309 127.029021378105)
11290126,보문동4가,서울특별시 성북구 보문동4가,POINT(37.5828961453855 127.021347801017)
11290127,보문동5가,서울특별시 성북구 보문동5가,POINT(37.5823846059338 127.020066071097)
11290128,보문동6가,서울특별시 성북구 보문동6가,POINT(37.5803846015947 127.018842854522)
11290129,보문동7가,서울특별시 성북구 보문동7가,POINT(37.5798181272131 127.022551479065)
11290130,보문동1가,서울특별시 성북구 보문동1가,POINT(37.586489601596 127.019645993321)
11290131,보문동2가,서울특별시 성북구 보문동2가,POINT(37.5857474136522 127.018210178625)
11290132,보문동3가,서울특별시 성북구 보문동3가,POINT(37.5838880357102 127.016352976758)
11290133,정릉동,서울특별시 성북구 정릉동,POINT(37.6185808255471 126.995482832879)
11290134,길음동,서울특별시 성북구 길음동,POINT(37.6076658267475 127.023343590916)
